"id","Nom","Marque","address","latitude","longitude","services","automate_h24"
"29490002","SUPER U GUIPAVAS","Système U"," Rue Anne de Bretagne 29490 GUIPAVAS",48.4370239,-4.4089134,"Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB",True
"22710001","Carrefour Market","Carrefour Market","31 Rue de Lannion 22710 Penvénan",48.8094836,-3.2980602999999995,"Vente de gaz domestique (Butane, Propane)|Automate CB",True
"4400003","STATION DU GRAVIER. SATA.","Indépendant sans enseigne","Place Aimé Gassier 04400 BARCELONNETTE",44.385611,6.6513309000000005,"Carburant additivé|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB",True
"31450004","SUPER U","Système U","ZA DE LA BALME 31450 BELBERAUD",43.5056308,1.5563822,"Toilettes publiques|Station de gonflage|Piste poids lourds|Automate CB|Lavage automatique",True
"31670001","STATION KAI LABEGE","KAI","Centre Commercial de l;Autan 31670 LABèGE",43.531157,1.5344872999999999,"",False
"5100004","Carrefour Market","Carrefour Market","CENTRE COMMERCIAL SUD 05100 BRIANCON",44.8819101,6.6233042,"Vente de gaz domestique (Butane, Propane)|Automate CB",True
"63210002","STE D EXPLOITATION FAURE SARL","Avia","RTE N 89 63210 Rochefort-Montagne",45.6879013,2.8060506000000003,"Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Relais colis|Automate CB|Lavage manuel",True
"10340001","SARL GARAGE ROY","Avia","25 Rue du Pont 10340 Les Riceys",47.996387899999995,4.3660909000000006,"Carburant additivé|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False
"69007006","RELAIS RACLET","Total","112/116 RUE DE GERLAND 69007 LYON",45.7348657,4.8392987000000005,"",False
"83310011","RELAIS DE LA FOUX","Total Access","RN 98 CARREFOUR DE LA FOUX 83310 COGOLIN",43.2638412,6.577242299999999,"Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique|Lavage manuel|Vente de fioul domestique",False
"3100008","INTERMARCHE MONTLUCON","Intermarché","Rue de la Rotonde 03100 Montluçon",46.3326806,2.6026327,"Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage manuel",True
"85460003","Super U L'AIGUILLON SUR MER","Système U","Route de SaintMichelenl'Herm 85460 L'AIGUILLON-SUR-MER",46.3330649,-1.2920493,"Station de gonflage|Laverie|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Aire de camping-cars|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel",True
"77340006","RELAIS DE COMBAULT","Total Access","6 A 10 AV CHARLES ROUXEL 77340 Pontault-Combault",48.7979602,2.6046877,"",False
"25290005","AVIA","Avia","21 AVENUE DE LATTRE DE TASSIGNY 25290 ORNANS",47.1053761,6.1304065,"Carburant additivé|Piste poids lourds|Automate CB",True
"85310001","SARL GARAGE DU MOULIN ROUGE","Avia","31 RUE DU MOULIN ROUGE 85310 LA CHAIZE-LE-VICOMTE",46.6690886,-1.2867893999999998,"Carburant additivé|Toilettes publiques|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Relais colis|Piste poids lourds|Lavage manuel|Vente de pétrole lampant",False
"75016006","SARL JABY","Shell","PLACE TATTEGRAIN 75116 PARIS",48.8635857,2.2722338,"Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Lavage manuel",False
"19300002","Super U Coop Atlantique Egletons","Système U","Avenue Charles de Gaulle 19300 ÉGLETONS",45.400659399999995,2.0392837,"Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Piste poids lourds",False
"38000015","BP GRENOBLE CHARTREUSE 8 à Huit","BP","3 AV DU MARECHAL RANDON 38000 Grenoble",45.1996568,5.7401489,"Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)",False
"77610002","SAS FONTENAL","Intermarché","Rue Bertaux 77610 FONTENAY-TRéSIGNY",48.7116369,2.8559616,"Carburant additivé|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique|Vente de pétrole lampant|Automate CB 24/24",True
"45250003","U EXPRESS","Système U","TERRES DU MARCHAIS BARNAULT 45250 BRIARE",47.6537888,2.7373109,"Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB",True
"4130004","RELAIS DE VOLX","Total","AUTOROUTE A51  AIRE DE VOLX OUEST 04130 VOLX",43.844388099999996,5.8491706,"Carburant additivé|Station de gonflage|Piste poids lourds|Automate CB",True
"4130005","RELAIS DE MANOSQUE","Total","AUTOROUTE A51  AIRE DE MANOSQUE 04130 VOLX",43.8417951,5.8501451,"Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Piste poids lourds|Automate CB",True
"78230002","ESSO VIGNES BENNETTES","Esso Express","46 Avenue du Président John F. Kennedy 78230 Le Pecq",48.8811472,2.0971652,"",False
"78230006","RELAIS LE PECQ KENNEDY","Total Access","AVENUE DU PRESIDENT KENNEDY 78230 LE PECQ",48.8791063,2.0969398999999997,"Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True
"78700003","GGE FOCH","Total","188 Avenue du Maréchal Foch 78700 CONFLANS-SAINTE-HONORINE",49.005675200000006,2.1135645,"Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Lavage automatique|Lavage manuel",False
"78840003","INTERMARCHE FRENEUSE","Intermarché","2 Rue Charles de Gaulle 78840 FRENEUSE",49.039532,1.5929428999999997,"Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB",True
"94190003","INTERMARCHE VILLENEUVE ST GEORGE","Intermarché","12 Avenue du Président Wilson 94190 Villeneuve-Saint-Georges",48.739193900000004,2.4479843,"Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel|Vente de fioul domestique",True
"94550002","RELAIS CHEVILLY-LARUE DE GAULLE","Total","14 AV DU GENERAL DE GAULLE 94550 Chevilly-Larue",48.772934899999996,2.3380729,"Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False
"33500005","INTERMARCHE LIBOURNE","Intermarché","11 Rue Pierre Benoit 33500 LIBOURNE",44.906214299999995,-0.233264,"Station de gonflage|Vente de gaz domestique (Butane, Propane)|Aire de camping-cars|Automate CB|Lavage automatique",True
"77580002","INTERMARCHE CRECY-LA-CHAPELLE","Intermarché","Avenue de Villiers 77580 CRéCY-LA-CHAPELLE",48.858929100000005,2.902132,"Vente de gaz domestique (Butane, Propane)|Location de véhicule|Piste poids lourds|Automate CB|Lavage manuel",True
"77220004","INTERMARCHE GRETZ ARMAINVILLIERS","Intermarché"," Boulevard Victor Hugo 77220 GRETZ-ARMAINVILLIERS",48.7396059,2.7290992999999997,"",False
"77144001","INTERMARCHE MONTEVRAIN","Intermarché","1 boulevard Charles de GAULLE 77144 MONTéVRAIN",48.8766652,2.7500454,"Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Vente de pétrole lampant",True
"56300001","Super U PONTIVY","Système U","35 Rue Général Quinivet 56300 PONTIVY",48.0686964,-2.9722395,"Station de gonflage|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Automate CB|Lavage automatique",True
"56450003","Carrefour Market","Carrefour Market","Rue Rosmadec 56450 THEIX",47.6290592,-2.6546722999999997,"Vente de gaz domestique (Butane, Propane)",False
"56450005","TOTAL ACCESS","Total Access","RN 165 56450 THEIX",47.6362063,-2.6653764,"Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Piste poids lourds|Automate CB",True
"78980001","INTERMARCHE BREVAL","Intermarché","31 rue René Dhal 78980 Bréval",48.9452561,1.5240268999999997,"Vente de gaz domestique (Butane, Propane)|Automate CB",True
"78890002","CASINO GARANCIERES","Casino","29 ROUTE DE LA GARE 78890 Garancières",48.811721999999996,1.7636824,"Restauration à emporter|Boutique alimentaire|Laverie|Vente de gaz domestique (Butane, Propane)|Relais colis|Automate CB",True
"91390002","INTERMARCHE FLOTIN","Intermarché","26 Avenue du Commandant Barré 91390 Morsang-sur-Orge",48.6624343,2.3597827999999996,"Carburant additivé|Boutique alimentaire|Vente de gaz domestique (Butane, Propane)|Relais colis|Automate CB|Lavage automatique",True
"95100033","RELAIS DES IMPRESSIONNISTES","Total Access","193 AVENUE HENRI BARBUSSE 95100 ARGENTEUIL",48.9327971,2.2325832,"Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Relais colis|Automate CB|Lavage automatique",True
"75015031","BP PARIS MONTPARNASSE 8 à Huit","BP","47 BD DE VAUGIRARD 75015 PARIS",48.840842200000004,2.3172666,"Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Lavage manuel",False
"19340002","SARL COSTE Père & Fils","Total","STATION TOTAL CONTACT EYGURANDE  RN 89 19340 EYGURANDE",45.6456255,2.4452594,"Carburant additivé|Toilettes publiques|Station de gonflage|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Vente de fioul domestique|Vente d'additifs carburants",False
"63112001","INTERMARCHE BLANZAT","Intermarché","ZA la Fontaine 63112 BLANZAT",45.824709999999996,3.0731436000000003,"Vente de gaz domestique (Butane, Propane)|Automate CB",True
"42290002","STATION TOTAL GARAGE DE L'ENTENTE","Total","1 Rue du Moulin Gillier 42290 Sorbiers",45.481241100000005,4.444806,"Carburant additivé|Toilettes publiques|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True
"75019009","BP PARIS SIMON BOLIVAR 8 à Huit","BP","41 Avenue Simon Bolivar 75019 PARIS",48.8758907,2.3810965,"Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)",False
"35270001","Hyper U COMBOURG","Système U","7 AV. DES ERABLES 35270 COMBOURG",48.4122672,-1.7457953000000002,"Station de gonflage|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Piste poids lourds|Automate CB|Lavage automatique|Vente de pétrole lampant",True
"71700001","Carrefour Market","Carrefour Market","AVENUE DE LA RESISTANCE 71700 TOURNUS",46.5647399,4.903018,"Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Relais colis|Automate CB|Vente de pétrole lampant",True
"36000014","SAS MYMIKA - INTERMARCHE","Intermarché","371 Avenue de Verdun 36000 CHATEAUROUX",46.788719,1.7036012999999999,"Station de gonflage|Laverie|Vente de gaz domestique (Butane, Propane)|Aire de camping-cars|Automate CB|Lavage automatique|Lavage manuel",True
"66530001","CARREFOUR CLAIRA","Carrefour","Route du Barcares 66530 CLAIRA",42.7765998,2.9165286,"Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB",True
"63118001","SIMPLY MARKET","Simply Market","Route de Châteaugay 63118 CéBAZAT",45.8337309,3.0963353,"Vente de gaz domestique (Butane, Propane)|Automate CB",True
"69200003","STATION U","Système U","38 rue du moulin à vent 69200 VéNISSIEUX",45.7305266,4.8594279,"Vente de gaz domestique (Butane, Propane)|Location de véhicule|Automate CB",True
"38610001","SARL GGE GARCIA","Total","14 Avenue Esclangon 38610 Gières",45.1812005,5.785792099999999,"Restauration à emporter|Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique",True
"88300006","Station NeoCC","SarlneoCC","3 Avenue François de Neufchateau 88300 Neufchâteau",48.3503422,5.693699,"Carburant additivé|Station de gonflage|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Automate CB|Vente d'additifs carburants|Automate CB 24/24",True
